YEAR,DATE,EW,AUTO_CASES,IMP_CASES,POP_SIZE,AUTO_INC,IMP_INC
2009,1/12/2009,2,0,1,1329604,0,0.075210363
2009,1/19/2009,3,0,0,1329604,0,0
2009,1/26/2009,4,0,2,1329604,0,0.150420727
2009,2/2/2009,5,0,2,1329604,0,0.150420727
2009,2/9/2009,6,0,5,1329604,0,0.376051817
2009,2/16/2009,7,0,4,1329604,0,0.300841454
2009,2/23/2009,8,0,3,1329604,0,0.22563109
2009,3/2/2009,9,0,2,1329604,0,0.150420727
2009,3/9/2009,10,2,4,1329604,0.150420727,0.300841454
2009,3/16/2009,11,1,4,1329604,0.075210363,0.300841454
2009,3/23/2009,12,5,2,1329604,0.376051817,0.150420727
2009,3/30/2009,13,15,4,1329604,1.128155451,0.300841454
2009,4/6/2009,14,21,3,1329604,1.579417631,0.22563109
2009,4/13/2009,15,21,5,1329604,1.579417631,0.376051817
2009,4/20/2009,16,11,1,1329604,0.827313997,0.075210363
2009,4/27/2009,17,9,0,1329604,0.67689327,0
2009,5/4/2009,18,3,0,1329604,0.22563109,0
2010,1/11/2010,1,0,0,1337649.472,0,0
2010,1/18/2010,2,0,0,1337649.472,0,0
2010,2/1/2010,4,0,0,1337649.472,0,0
2010,2/8/2010,5,0,0,1337649.472,0,0
2010,2/15/2010,6,0,0,1337649.472,0,0
2010,3/1/2010,8,0,0,1337649.472,0,0
2010,3/8/2010,9,0,0,1337649.472,0,0
2010,3/15/2010,10,0,0,1337649.472,0,0
2010,3/29/2010,12,0,0,1337649.472,0,0
2010,4/5/2010,13,0,0,1337649.472,0,0
2010,4/12/2010,14,0,0,1337649.472,0,0
2010,4/19/2010,15,0,0,1337649.472,0,0
2010,4/26/2010,16,0,0,1337649.472,0,0
2010,5/3/2010,17,0,0,1337649.472,0,0
2010,5/10/2010,18,0,0,1337649.472,0,0
2010,6/4/2010,22,0,0,1337649.472,0,0
2010,6/11/2010,23,0,0,1337649.472,0,0
2010,6/18/2010,24,0,0,1337649.472,0,0
2010,7/5/2010,26,0,0,1337649.472,0,0
2010,7/13/2010,27,0,0,1337649.472,0,0
2010,10/8/2010,39,0,0,1337649.472,0,0
2010,10/15/2010,40,0,0,1337649.472,0,0
2010,10/29/2010,42,0,0,1337649.472,0,0
2010,11/5/2010,43,0,0,1337649.472,0,0
2010,11/12/2010,44,0,0,1337649.472,0,0
2010,11/19/2010,45,0,0,1337649.472,0,0
2010,11/26/2010,46,0,0,1337649.472,0,0
2010,12/3/2010,47,0,0,1337649.472,0,0
2010,12/17/2010,49,0,0,1337649.472,0,0
2011,3/25/2011,11,0,0,1345694.944,0,0
2011,4/1/2011,13,0,0,1345694.944,0,0
2011,4/8/2011,14,0,0,1345694.944,0,0
2011,4/15/2011,15,0,0,1345694.944,0,0
2011,4/22/2011,16,0,0,1345694.944,0,0
2011,4/29/2011,17,0,0,1345694.944,0,0
2011,5/6/2011,18,0,0,1345694.944,0,0
2011,5/13/2011,19,0,0,1345694.944,0,0
2011,5/21/2011,20,0,0,1345694.944,0,0
2011,5/27/2011,21,0,0,1345694.944,0,0
2011,6/6/2011,22,0,0,1345694.944,0,0
2011,6/13/2011,23,0,0,1345694.944,0,0
2011,6/20/2011,24,0,0,1345694.944,0,0
